,model,price,rating,sim,processor,ram,battery,display,camera,card,os
889,Alcatel V3 Ultra (8GB RAM + 128GB),"₹21,999",,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Dimensity 6300, Octa Core, 2.4 GHz Processor","8 GB RAM, 128 GB inbuilt",5010 mAh Battery with 33W Fast Charging,"6.78 inches, 1080 x 2460 px, 120 Hz Display with Punch Hole",108 MP + 8 MP + 2 MP Triple Rear & 32 MP Front Camera,"Memory Card Supported, upto 2 TB",Android v14
890,OnePlus Ace 5 Racing,"₹29,990",,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC, IR Blaster","Dimensity 9400e, Octa Core, 3.4 GHz Processor","12 GB RAM, 256 GB inbuilt",7100 mAh Battery with 80W Fast Charging,"6.77 inches, 1080 x 2392 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 16 MP Front Camera,Memory Card Not Supported,Android v15
891,OnePlus Ace 5 Extreme Edition,"₹34,990",,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC, IR Blaster","Dimensity 9400 Plus, Octa Core, 3.73 GHz Processor","12 GB RAM, 256 GB inbuilt",6415 mAh Battery with 80W Fast Charging,"6.78 inches, 1264 x 2780 px, 120 Hz Display with Punch Hole",50 MP + 8 MP + 2 MP Triple Rear & 16 MP Front Camera,Memory Card Not Supported,Android v15
892,iQOO Z10R,"₹18,990",71,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster",Octa Core Processor,"8 GB RAM, 128 GB inbuilt",6800 mAh Battery with 67W Fast Charging,"6.77 inches, 1080 x 2392 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 32 MP Front Camera,Memory Card Not Supported,Android v15
893,Asus ROG Phone 10,"₹99,990",,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Snapdragon 8 Elite 2, Octa Core Processor","12 GB RAM, 256 GB inbuilt",6000 mAh Battery with 80W Fast Charging,"6.82 inches, 1080 x 2400 px Display with Punch Hole",50 MP + 50 MP + 50 MP Triple Rear & 32 MP Front Camera,Android v16,No FM Radio
894,Vivo U5x,"₹9,990",66,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi",Octa Core Processor,"6 GB RAM, 128 GB inbuilt",5000 mAh Battery with 33W Fast Charging,"6.65 inches, 1080 x 2408 px, 120 Hz Display with Water Drop Notch",50 MP + Depth Sensor Dual Rear & 8 MP Front Camera,Android v15,No FM Radio
895,Alcatel V3 Ultra,"₹19,999",,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","Dimensity 6300, Octa Core, 2.4 GHz Processor","6 GB RAM, 128 GB inbuilt",5010 mAh Battery with 33W Fast Charging,"6.78 inches, 1080 x 2460 px, 120 Hz Display with Punch Hole",108 MP + 8 MP + 2 MP Triple Rear & 32 MP Front Camera,"Memory Card Supported, upto 2 TB",Android v14
896,Meizu Note 16,"₹9,990",77,"Dual Sim, 3G, 4G, 5G, Wi-Fi, NFC","Unisoc T8200, Octa Core, 2.3 GHz Processor","8 GB RAM, 128 GB inbuilt",6600 mAh Battery with 40W Fast Charging,"6.78 inches, 1080 x 2460 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 8 MP Front Camera,Flyme AIOS 2,No FM Radio
897,Samsung Galaxy S25 Edge (12GB RAM + 512GB),"₹1,21,999",,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC","Snapdragon 8Elite, Octa Core, 4.47 GHz Processor","12 GB RAM, 512 GB inbuilt",3900 mAh Battery with 25W Fast Charging,"6.7 inches, 1440 x 3120 px, 120 Hz Display with Punch Hole",200 MP + 12 MP Dual Rear & 12 MP Front Camera,Android v15,No FM Radio
898,Realme P1 Speed 5G (8GB RAM + 256GB),"₹17,999",,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 7300 E, Octa Core, 2.5 GHz Processor","8 GB RAM, 256 GB inbuilt",5000 mAh Battery with 45W Fast Charging,"6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 16 MP Front Camera,"Memory Card (Hybrid), upto 2 TB",Android v14
899,Vivo Y20 5G,"₹11,999",74,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 6400, Octa Core, 2.4 GHz Processor","4 GB RAM, 128 GB inbuilt",5700 mAh Battery with 20W Fast Charging,"6.74 inches, 720 x 1600 px, 90 Hz Display with Water Drop Notch",50 MP + 0.08 MP Dual Rear & 8 MP Front Camera,"Memory Card Supported, upto 2 TB",Android v16
900,itel Zeno 5G,"₹10,299",70,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","Dimensity 6300, Octa Core, 2.4 GHz Processor","4 GB RAM, 128 GB inbuilt",5000 mAh Battery with 18W Fast Charging,"6.67 inches, 720 x 1612 px, 120 Hz Display with Punch Hole",50 MP Dual Rear & 8 MP Front Camera,"Memory Card Supported, upto 1 TB",Android v14
901,Acer Super ZX Pro,"₹17,990",74,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","Dimensity 7400, Octa Core Processor","12 GB RAM, 256 GB inbuilt",5000 mAh Battery with 33W Fast Charging,"6.7 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",50 MP + 5 MP + 2 MP Triple Rear & 50 MP Front Camera,Android v15,Bluetooth
902,iQOO Z11x,"₹17,990",74,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 7400, Octa Core Processor","8 GB RAM, 128 GB inbuilt",6700 mAh Battery with 67W Fast Charging,"6.78 inches, 1080 x 2408 px, 120 Hz Display with Punch Hole",50 MP + 8 MP + 2 MP Triple Rear & 32 MP Front Camera,Android v16,No FM Radio
903,iQOO Z11,"₹23,990",76,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster",Octa Core Processor,"8 GB RAM, 256 GB inbuilt",7500 mAh Battery with 100W Fast Charging,"6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",50 MP + 12 MP Dual Rear & 50 MP Front Camera,"Memory Card (Hybrid), upto 1 TB",Android v16
904,Vivo Y40 Pro,"₹23,990",73,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi",Octa Core Processor,"8 GB RAM, 128 GB inbuilt",6500 mAh Battery with 80W Fast Charging,"6.68 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 50 MP Front Camera,Memory Card Not Supported,Android v16
905,Vivo V60e,"₹28,990",74,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 7400, Octa Core Processor","8 GB RAM, 128 GB inbuilt",6000 mAh Battery with 100W Fast Charging,"6.8 inches, 1080 x 2392 px, 120 Hz Display with Punch Hole",50 MP + 13 MP + 8 MP Triple Rear & 32 MP Front Camera,Memory Card Not Supported,Android v16
906,Vivo Y300 Pro Plus,"₹21,990",74,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Snapdragon 7s Gen 3, Octa Core Processor","8 GB RAM, 128 GB inbuilt",7300 mAh Battery with 90W Fast Charging,"6.77 inches, 1080 x 2392 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 32 MP Front Camera,Android v15,No FM Radio
907,Oppo Find X8s Plus,"₹49,990",,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","Dimensity 9400 Plus, Octa Core, 3.63 GHz Processor","12 GB RAM, 256 GB inbuilt",6000 mAh Battery with 80W Fast Charging,"6.59 inches, 1256 x 2760 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 50 MP Triple Rear & 32 MP Front Camera,Android v15,No FM Radio
908,Huawei Pura X,"₹89,990",,"Dual Sim, 3G, 4G, 5G, Wi-Fi, NFC, IR Blaster",Kirin 9020,"12 GB RAM, 256 GB inbuilt",4720 mAh Battery with 66W Fast Charging,"6.3 inches, 1320 x 2120 px Display with Punch Hole","Foldable Display, Dual Display",50 MP Quad Rear & 10.7 MP Front Camera,HarmonyOS v5.0
909,Infinix Note 50 Pro 4G,"₹16,999",,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi, NFC, IR Blaster","Helio G100, Octa Core, 2.2 GHz Processor","8 GB RAM, 256 GB inbuilt",5200 mAh Battery with 90W Fast Charging,"6.78 inches, 1080 x 2436 px, 144 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 32 MP Front Camera,"Memory Card Supported, upto 2 TB",Android v15
910,Tecno Camon 40 Pro 4G,"₹17,990",,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi, NFC, IR Blaster","Helio G100, Octa Core, 2.2 GHz Processor","8 GB RAM, 256 GB inbuilt",5200 mAh Battery with 45W Fast Charging,"6.78 inches, 1080 x 2436 px, 120 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 50 MP Front Camera,Android v15,Bluetooth
911,itel Power 70,"₹7,299",61,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","Helio G50, Octa Core, 2.2 GHz Processor","4 GB RAM, 128 GB inbuilt",6000 mAh Battery with 18W Fast Charging,"6.67 inches, 720 x 1600 px, 120 Hz Display with Punch Hole",13 MP Rear & 8 MP Front Camera,Memory Card Supported,Android v14
912,Samsung Galaxy M07 5G,"₹11,990",67,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi",Octa Core Processor,"6 GB RAM, 128 GB inbuilt",5500 mAh Battery with 25W Fast Charging,"6.6 inches, 720 x 1600 px, 120 Hz Display with Water Drop Notch",50 MP + 2 MP Dual Rear & 16 MP Front Camera,"Memory Card Supported, upto 1 TB",Android v16
913,Realme Narzo 80 Turbo 5G,"₹17,990",74,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","Dimensity 7400, Octa Core Processor","8 GB RAM, 256 GB inbuilt",5500 mAh Battery with 45W Fast Charging,"6.74 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 32 MP Front Camera,"Memory Card (Hybrid), upto 1 TB",Android v15
